Removed Pin From Net: NetName=3.3V_MCU Pin=C?-1
Removed Pin From Net: NetName=GND Pin=IC?-3
Removed Pin From Net: NetName=3.3V_MCU Pin=IC?-6
Removed Pin From Net: NetName=GND Pin=IC?-7
Removed Pin From Net: NetName=IMU_CLK_OUT Pin=Y?-2
Removed Member From Class: ClassName=logger_power Member=AC?
Removed Member From Class: ClassName=logger_mcu Member=U?
Change Component Footprint: Designator=IC? Old Footprint=SON65P200X200X90-7N New Footprint=74AXP2T3407GSX
Change Component Comment : Designator=IC? Old Comment=MCP1700T-3302E_MAY New Comment=74LVC2G00GS,115
Change component parameters: Designator = "IC?" ("IC?"); Footprint = "SON65P200X200X90-7N"; UniqueID = "\AQCVYBAT" ("\AQCVYBAT")
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://assets.nexperia.com/documents/data-sheet/74LVC2G00.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.35mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Nexperia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "74LVC2G00GS,115"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RS Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RS Price/Stock"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C?(SMD-0402C)
Add component (AddParameter): Name = "@ qty"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheets"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key Part Number"; Value = "490-5915-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Factory Stock"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Derating Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Image"; Value = "//media.digikey.com/Renders/Murata%20Renders/ZRB-SERIES-0402.jpg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics North America"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM155R60J475ME47D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Quantity Available"; Value = "1963747"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "GRM"; VariantName = "[No Variations]"
